"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,6,3.992653E-06
0,12,0.0004089522
0,18,0.005273806
0,24,0.02691431
0,30,0.08324717
0,36,0.1895617
0,42,0.3524618
0,48,0.5689598
0,54,0.8291436
0,60,1.11977
0,66,1.427191
0,72,1.739116
0,78,2.045364
0,84,2.33797
0,90,2.610958
0,96,2.860014
0,102,3.08216
0,108,3.275502
0,114,3.439057
0,120,3.572645
0,126,3.676832
0,132,3.752894
0,138,3.802766
0,144,3.828964
0,150,3.834459
0,156,3.822521
0,162,3.796529
0,168,3.759789
0,174,3.715374
0,180,3.666
0,186,3.613962
0,192,3.561114
0,198,3.508877
0,204,3.458282
0,210,3.410033
0,216,3.364557
0,222,3.322072
0,228,3.282635
0,234,3.246189
0,240,3.2126
0,246,3.181687
0,252,3.153239
0,258,3.127038
0,264,3.102865
0,270,3.080508
0,276,3.059769
0,282,3.040466
0,288,3.022432
0,294,3.005519
0,300,2.989593
0,306,2.974536
0,312,2.960246
0,318,2.94663
0,324,2.933612
0,330,2.92112
0,336,2.909096
0,342,2.897486
0,348,2.886247
0,354,2.875338
0,360,2.864726
0,366,2.85438
0,372,2.844275
0,378,2.834387
0,384,2.824698
0,390,2.815189
0,396,2.805846
0,402,2.796654
0,408,2.787603
0,414,2.77868
0,420,2.769877
0,426,2.761185
0,432,2.752597
0,438,2.744105
0,444,2.735704
0,450,2.727389
0,456,2.719153
0,462,2.710992
0,468,2.702903
0,474,2.694882
0,480,2.686924
0,486,2.679028
0,492,2.671189
0,498,2.663405
0,504,2.655675
0,510,2.647995
0,516,2.640363
0,522,2.632779
0,528,2.625239
0,534,2.617742
0,540,2.610287
0,546,2.602872
0,552,2.595496
0,558,2.588158
0,564,2.580857
0,570,2.573591
0,576,2.56636
0,582,2.559163
0,588,2.551999
0,594,2.544866
0,600,2.537766
0,606,2.530696
0,612,2.523656
0,618,2.516645
0,624,2.509664
0,630,2.502711
0,636,2.495786
0,642,2.488888
0,648,2.482018
0,654,2.475174
0,660,2.468356
0,666,2.461565
0,672,2.454799
0,678,2.448058
0,684,2.441342
0,690,2.434651
0,696,2.427984
0,702,2.421342
0,708,2.414723
0,714,2.408128
0,720,2.401556
0,726,2.395008
0,732,2.388482
0,738,2.381979
0,744,2.375499
0,750,2.369042
0,756,2.362607
0,762,2.356193
0,768,2.349802
0,774,2.343432
0,780,2.337084
0,786,2.330758
0,792,2.324453
0,798,2.318169
0,804,2.311906
0,810,2.305664
0,816,2.299442
0,822,2.293242
0,828,2.287062
0,834,2.280902
0,840,2.274763
0,846,2.268644
0,852,2.262544
0,858,2.256465
0,864,2.250406
0,870,2.244366
0,876,2.238347
0,882,2.232346
0,888,2.226365
0,894,2.220403
0,900,2.214461
0,906,2.208538
0,912,2.202633
0,918,2.196748
0,924,2.190882
0,930,2.185034
0,936,2.179205
0,942,2.173394
0,948,2.167602
0,954,2.161828
0,960,2.156073
0,966,2.150336
0,972,2.144616
0,978,2.138915
0,984,2.133232
0,990,2.127567
0,996,2.121919
0,1002,2.116289
0,1008,2.110677
0,1014,2.105082
0,1020,2.099505
0,1026,2.093945
0,1032,2.088402
0,1038,2.082876
0,1044,2.077368
0,1050,2.071876
0,1056,2.066401
0,1062,2.060944
0,1068,2.055503
0,1074,2.050078
0,1080,2.044671
0,1086,2.03928
0,1092,2.033905
0,1098,2.028547
0,1104,2.023205
0,1110,2.017879
0,1116,2.01257
0,1122,2.007277
0,1128,2.001999
0,1134,1.996738
0,1140,1.991492
0,1146,1.986262
0,1152,1.981048
0,1158,1.97585
0,1164,1.970667
0,1170,1.9655
0,1176,1.960348
0,1182,1.955211
0,1188,1.95009
0,1194,1.944984
0,1200,1.939894
0,1206,1.934818
0,1212,1.929757
0,1218,1.924712
0,1224,1.919681
0,1230,1.914665
0,1236,1.909664
0,1242,1.904677
0,1248,1.899705
0,1254,1.894748
0,1260,1.889805
0,1266,1.884877
0,1272,1.879963
0,1278,1.875063
0,1284,1.870178
0,1290,1.865307
0,1296,1.86045
0,1302,1.855607
0,1308,1.850778
0,1314,1.845962
0,1320,1.841161
0,1326,1.836374
0,1332,1.8316
0,1338,1.82684
0,1344,1.822094
0,1350,1.817361
0,1356,1.812642
0,1362,1.807936
0,1368,1.803244
0,1374,1.798565
0,1380,1.793899
0,1386,1.789247
0,1392,1.784607
0,1398,1.779981
0,1404,1.775368
0,1410,1.770768
0,1416,1.766181
0,1422,1.761607
0,1428,1.757045
0,1434,1.752497
0,1440,1.747961
0,1446,1.743441
0,1452,1.739323
0,1458,1.739556
0,1464,1.756198
0,1470,1.806922
0,1476,1.907022
0,1482,2.063349
0,1488,2.273275
0,1494,2.52718
0,1500,2.811989
0,1506,3.114099
0,1512,3.421183
0,1518,3.722976
0,1524,4.011422
0,1530,4.280456
0,1536,4.525689
0,1542,4.744086
0,1548,4.933708
0,1554,5.093541
0,1560,5.223384
0,1566,5.323791
0,1572,5.396029
0,1578,5.442033
0,1584,5.464317
0,1590,5.46586
0,1596,5.449936
0,1602,5.419931
0,1608,5.379157
0,1614,5.33069
0,1620,5.277257
0,1626,5.221159
0,1632,5.16425
0,1638,5.107956
0,1644,5.053313
0,1650,5.001021
0,1656,4.951512
0,1662,4.905002
0,1668,4.861549
0,1674,4.821098
0,1680,4.783514
0,1686,4.748615
0,1692,4.716192
0,1698,4.686026
0,1704,4.657898
0,1710,4.631597
0,1716,4.606924
0,1722,4.583696
0,1728,4.561749
0,1734,4.540932
0,1740,4.521112
0,1746,4.502172
0,1752,4.484008
0,1758,4.466529
0,1764,4.449656
0,1770,4.433321
0,1776,4.417462
0,1782,4.402029
0,1788,4.386975
0,1794,4.372261
0,1800,4.357853
0,1806,4.343721
0,1812,4.32984
0,1818,4.316185
0,1824,4.302739
0,1830,4.289483
0,1836,4.276401
0,1842,4.26348
0,1848,4.250709
0,1854,4.238076
0,1860,4.225572
0,1866,4.213189
0,1872,4.200918
0,1878,4.188754
0,1884,4.176689
0,1890,4.164718
0,1896,4.152836
0,1902,4.141039
0,1908,4.129323
0,1914,4.117683
0,1920,4.106116
0,1926,4.094619
0,1932,4.083189
0,1938,4.071823
0,1944,4.060518
0,1950,4.049274
0,1956,4.038086
0,1962,4.026955
0,1968,4.015876
0,1974,4.00485
0,1980,3.993874
0,1986,3.982947
0,1992,3.972068
0,1998,3.961235
0,2004,3.950448
0,2010,3.939705
0,2016,3.929005
0,2022,3.918347
0,2028,3.907731
0,2034,3.897156
0,2040,3.88662
0,2046,3.876123
0,2052,3.865666
0,2058,3.855246
0,2064,3.844863
0,2070,3.834517
0,2076,3.824208
0,2082,3.813934
0,2088,3.803695
0,2094,3.793492
0,2100,3.783323
0,2106,3.773188
0,2112,3.763087
0,2118,3.75302
0,2124,3.742985
0,2130,3.732983
0,2136,3.723014
0,2142,3.713077
0,2148,3.703171
0,2154,3.693298
0,2160,3.683456
0,2166,3.673645
0,2172,3.663865
0,2178,3.654116
0,2184,3.644397
0,2190,3.634708
0,2196,3.62505
0,2202,3.615422
0,2208,3.605823
0,2214,3.596254
0,2220,3.586714
0,2226,3.577204
0,2232,3.567722
0,2238,3.55827
0,2244,3.548846
0,2250,3.539451
0,2256,3.530084
0,2262,3.520746
0,2268,3.511435
0,2274,3.502153
0,2280,3.492898
0,2286,3.483671
0,2292,3.474472
0,2298,3.465301
0,2304,3.456156
0,2310,3.447039
0,2316,3.437949
0,2322,3.428886
0,2328,3.419849
0,2334,3.41084
0,2340,3.401856
0,2346,3.3929
0,2352,3.38397
0,2358,3.375066
0,2364,3.366188
0,2370,3.357336
0,2376,3.34851
0,2382,3.33971
0,2388,3.330935
0,2394,3.322186
0,2400,3.313463
0,2406,3.304765
0,2412,3.296092
0,2418,3.287444
0,2424,3.278821
0,2430,3.270223
0,2436,3.26165
0,2442,3.253102
0,2448,3.244578
0,2454,3.236079
0,2460,3.227604
0,2466,3.219154
0,2472,3.210728
0,2478,3.202326
0,2484,3.193948
0,2490,3.185593
0,2496,3.177263
0,2502,3.168957
0,2508,3.160674
0,2514,3.152414
0,2520,3.144178
0,2526,3.135966
0,2532,3.127776
0,2538,3.11961
0,2544,3.111467
0,2550,3.103347
0,2556,3.09525
0,2562,3.087175
0,2568,3.079123
0,2574,3.071094
0,2580,3.063088
0,2586,3.055104
0,2592,3.047142
0,2598,3.039202
0,2604,3.031285
0,2610,3.02339
0,2616,3.015516
0,2622,3.007665
0,2628,2.999835
0,2634,2.992028
0,2640,2.984242
0,2646,2.976477
0,2652,2.968734
0,2658,2.961013
0,2664,2.953312
0,2670,2.945633
0,2676,2.937976
0,2682,2.930339
0,2688,2.922723
0,2694,2.915128
0,2700,2.907555
0,2706,2.900001
0,2712,2.892469
0,2718,2.884957
0,2724,2.877466
0,2730,2.869995
0,2736,2.862545
0,2742,2.855114
0,2748,2.847704
0,2754,2.840315
0,2760,2.832945
0,2766,2.825595
0,2772,2.818266
0,2778,2.810956
0,2784,2.803666
0,2790,2.796395
0,2796,2.789145
0,2802,2.781914
0,2808,2.774702
