"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
2,69,1.357284
2,72,1.41558
2,75,1.46639
2,78,1.509681
2,81,1.545501
2,84,1.573975
2,87,1.595301
2,90,1.609755
2,93,1.617684
2,96,1.619512
2,99,1.615728
2,102,1.606887
2,105,1.593592
2,108,1.576483
2,111,1.556217
2,114,1.53345
2,117,1.508817
2,120,1.482917
2,135,1.351259
2,150,1.241908
2,165,1.164063
2,180,1.11095
2,195,1.073481
2,210,1.044968
2,225,1.021407
2,240,1.000628
2,255,0.9815121
2,270,0.96349
2,285,0.9462657
2,300,0.9296771
2,315,0.9136271
2,330,0.8980526
2,345,0.8829077
2,360,0.8681576
2,375,0.8537741
2,390,0.839734
2,405,0.8260174
2,420,0.8126075
2,435,0.7994897
2,450,0.786651
2,465,0.7740799
2,480,0.7617664
2,495,0.7497012
2,510,0.7378762
2,525,0.7262837
2,540,0.7149168
2,555,0.7037692
2,570,0.6928348
2,585,0.6821081
2,600,0.6715838
2,615,0.661257
2,630,0.651123
2,645,0.6411773
2,660,0.6314157
2,675,0.621834
2,690,0.6124284
2,705,0.603195
2,720,0.59413
2,735,0.5852301
2,750,0.5764917
2,765,0.5679115
2,780,0.5594862
2,795,0.5512125
2,810,0.5430875
2,825,0.5351081
2,840,0.5272714
2,855,0.5195743
2,870,0.5120142
2,885,0.5045882
2,900,0.4972936
2,915,0.4901278
2,930,0.4830882
2,945,0.4761721
2,960,0.4693773
2,975,0.4627011
2,990,0.4561411
2,1005,0.4496952
2,1020,0.4433609
2,1035,0.4371359
2,1050,0.4310182
2,1065,0.4250054
2,1080,0.4190956
2,1095,0.4132866
2,1110,0.4075763
2,1125,0.4019628
2,1140,0.3964442
2,1155,0.3910185
2,1170,0.3856838
2,1185,0.3804383
2,1200,0.3752802
2,1215,0.3702077
2,1230,0.3652191
2,1245,0.3603128
2,1260,0.355487
2,1275,0.3507401
2,1290,0.3460706
2,1305,0.3414768
2,1320,0.3369573
2,1335,0.3325107
2,1350,0.3281353
2,1365,0.3238298
2,1380,0.3195928
2,1395,0.315423
2,1410,0.311319
2,1425,0.3072794
2,1440,0.303303
3,0,0
3,3,3.028119E-07
3,6,1.213293E-05
3,9,8.575105E-05
3,12,0.0003425803
3,15,0.001023576
3,18,0.002528327
3,21,0.00542568
3,24,0.01043378
3,27,0.01837573
3,30,0.03012138
3,33,0.04652531
3,36,0.06836915
3,39,0.09631451
3,42,0.1308694
3,45,0.172369
3,48,0.2209692
3,51,0.2766521
3,54,0.33924
3,57,0.4084152
3,60,0.4837438
3,63,0.5647005
3,66,0.6506929
3,69,0.7410848
3,72,0.8352166
3,75,0.9324229
3,78,1.032047
3,81,1.133454
3,84,1.236036
3,87,1.339222
3,90,1.442481
3,93,1.545325
3,96,1.647306
3,99,1.748021
3,102,1.847108
3,105,1.944244
3,108,2.039144
3,111,2.131558
3,114,2.221268
3,117,2.308087
3,120,2.391852
3,135,2.760903
3,150,3.041689
3,165,3.234194
3,180,3.345326
3,195,3.387113
3,210,3.374714
3,225,3.324023
3,240,3.249405
3,255,3.162249
3,270,3.070577
3,285,2.979432
3,300,2.891622
3,315,2.808457
3,330,2.730337
3,345,2.657161
3,360,2.58858
3,375,2.524146
3,390,2.463397
3,405,2.405897
3,420,2.351252
3,435,2.299122
3,450,2.249213
3,465,2.201277
3,480,2.155104
3,495,2.110518
3,510,2.067372
3,525,2.02554
3,540,1.98492
3,555,1.94542
3,570,1.906967
3,585,1.869495
3,600,1.832949
3,615,1.797279
3,630,1.762445
3,645,1.728408
3,660,1.695136
3,675,1.662599
3,690,1.630771
3,705,1.599627
3,720,1.569146
3,735,1.539307
3,750,1.510092
3,765,1.481483
3,780,1.453464
3,795,1.42602
3,810,1.399136
3,825,1.372799
3,840,1.346996
3,855,1.321713
3,870,1.296939
3,885,1.272663
3,900,1.248873
3,915,1.225559
3,930,1.20271
3,945,1.180316
3,960,1.158367
3,975,1.136854
3,990,1.115768
3,1005,1.0951
3,1020,1.07484
3,1035,1.054981
3,1050,1.035513
3,1065,1.01643
3,1080,0.9977216
3,1095,0.9793816
3,1110,0.9614019
3,1125,0.9437752
3,1140,0.9264942
3,1155,0.9095517
3,1170,0.8929408
3,1185,0.8766545
3,1200,0.8606864
3,1215,0.8450298
3,1230,0.8296783
3,1245,0.8146257
3,1260,0.799866
3,1275,0.7853929
3,1290,0.7712008
3,1305,0.7572839
3,1320,0.7436364
3,1335,0.730253
3,1350,0.7171282
3,1365,0.7042568
3,1380,0.6916336
3,1395,0.6792535
3,1410,0.6671116
3,1425,0.6552029
3,1440,0.6435229
4,0,0
4,3,3.000874E-07
4,6,3.598092E-05
4,9,0.0005350963
4,12,0.003043657
4,15,0.01033046
4,18,0.02564303
4,21,0.05181262
4,24,0.09067789
4,27,0.1428779
4,30,0.2079141
4,33,0.2843628
4,36,0.3701471
4,39,0.4628143
4,42,0.5597765
4,45,0.6584927
4,48,0.7565983
4,51,0.8519899
4,54,0.9428666
4,57,1.027744
4,60,1.105454
4,63,1.175125
4,66,1.236167
4,69,1.288243
4,72,1.33125
4,75,1.365291
4,78,1.390653
4,81,1.40778
4,84,1.417244
4,87,1.419723
4,90,1.415967
4,93,1.406772
4,96,1.392951
4,99,1.375313
4,102,1.354634
4,105,1.331643
4,108,1.307007
4,111,1.281324
4,114,1.255111
4,117,1.22881
4,120,1.202786
4,135,1.084916
4,150,0.9953336
4,165,0.9315724
4,180,0.8859642
4,195,0.8517521
4,210,0.8243874
4,225,0.8011531
4,240,0.7805174
4,255,0.7616333
4,270,0.7440256
4,285,0.7274162
4,300,0.7116303
4,315,0.6965491
4,330,0.6820862
4,345,0.6681741
4,360,0.6547588
4,375,0.6417954
4,390,0.6292464
4,405,0.6170794
4,420,0.6052673
4,435,0.5937862
4,450,0.5826156
4,465,0.5717375
4,480,0.5611364
4,495,0.5507983
4,510,0.540711
4,525,0.5308635
4,540,0.521246
4,555,0.5118496
