"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.004603431
0,6,0.08843673
0,9,0.3664463
0,12,0.8920127
0,15,1.665232
0,18,2.65499
0,21,3.815803
0,24,5.098789
0,27,6.457927
0,30,7.852999
0,33,9.250606
0,36,10.62408
0,39,11.95281
0,42,13.22137
0,45,14.4186
0,48,15.53677
0,51,16.57096
0,54,17.51844
0,57,18.37829
0,60,19.15104
0,63,19.83841
0,66,20.44316
0,69,20.96889
0,72,21.41992
0,75,21.80111
0,78,22.1177
0,81,22.37521
0,84,22.57932
0,87,22.7357
0,90,22.84988
0,93,22.92715
0,96,22.97252
0,99,22.99065
0,102,22.98584
0,105,22.96201
0,108,22.92266
0,111,22.87094
0,114,22.80958
0,117,22.74095
0,120,22.66711
0,135,22.27081
0,150,21.90203
0,165,21.59107
0,180,21.32849
0,195,21.09701
0,210,20.88342
0,225,20.6799
0,240,20.48236
0,255,20.28877
0,270,20.09817
0,285,19.91014
0,300,19.72448
0,315,19.54114
0,330,19.36009
0,345,19.18136
0,360,19.00496
0,375,18.83088
0,390,18.65915
0,405,18.48976
0,420,18.3227
0,435,18.15796
0,450,17.99551
0,465,17.83533
0,480,17.6774
0,495,17.52167
0,510,17.36812
0,525,17.2167
0,540,17.06738
0,555,16.92012
0,570,16.77488
0,585,16.63162
0,600,16.4903
0,615,16.35087
0,630,16.21329
0,645,16.07754
0,660,15.94355
0,675,15.8113
0,690,15.68074
0,705,15.55184
0,720,15.42456
0,735,15.29885
0,750,15.17469
0,765,15.05203
0,780,14.93085
0,795,14.8111
0,810,14.69274
0,825,14.57576
0,840,14.46011
0,855,14.34576
0,870,14.23268
0,885,14.12084
0,900,14.01021
0,915,13.90076
0,930,13.79247
0,945,13.68529
0,960,13.57922
0,975,13.47421
0,990,13.37025
0,1005,13.2673
0,1020,13.16536
0,1035,13.06438
0,1050,12.96435
0,1065,12.86525
0,1080,12.76706
0,1095,12.66974
0,1110,12.57329
0,1125,12.47768
0,1140,12.3829
0,1155,12.28891
0,1170,12.19572
0,1185,12.10329
0,1200,12.01162
0,1215,11.92068
0,1230,11.83046
0,1245,11.74095
0,1260,11.65212
0,1275,11.56397
0,1290,11.47649
0,1305,11.38964
0,1320,11.30344
0,1335,11.21785
0,1350,11.13288
0,1365,11.0485
0,1380,10.96472
0,1395,10.8815
0,1410,10.79886
0,1425,10.71677
0,1440,10.63523
0,1455,10.55422
0,1470,10.47375
0,1485,10.3938
0,1500,10.31435
0,1515,10.23542
0,1530,10.15698
0,1545,10.07903
0,1560,10.00156
0,1575,9.924567
0,1590,9.848046
0,1605,9.77199
0,1620,9.696392
0,1635,9.621247
0,1650,9.54655
0,1665,9.472295
0,1680,9.398479
0,1695,9.325095
0,1710,9.252141
0,1725,9.179612
0,1740,9.107504
0,1755,9.035813
0,1770,8.964536
0,1785,8.893669
0,1800,8.82321
0,1815,8.753155
0,1830,8.6835
0,1845,8.614244
0,1860,8.545385
0,1875,8.476918
0,1890,8.408843
0,1905,8.341157
0,1920,8.273857
0,1935,8.206942
0,1950,8.14041
0,1965,8.074259
0,1980,8.008488
0,1995,7.943094
0,2010,7.878077
0,2025,7.813434
0,2040,7.749165
0,2055,7.685268
0,2070,7.621743
0,2085,7.558588
0,2100,7.4958
0,2115,7.433382
0,2130,7.37133
0,2145,7.309644
0,2160,7.248322
0,2175,7.187366
0,2190,7.126772
0,2205,7.066541
0,2220,7.006672
0,2235,6.947164
0,2250,6.888017
0,2265,6.829229
0,2280,6.770801
0,2295,6.712731
0,2310,6.65502
0,2325,6.597666
0,2340,6.540668
0,2355,6.484027
0,2370,6.427742
0,2385,6.371812
0,2400,6.316236
0,2415,6.261015
0,2430,6.206147
0,2445,6.151632
0,2460,6.09747
0,2475,6.043659
0,2490,5.990201
0,2505,5.937092
0,2520,5.884334
0,2535,5.831926
0,2550,5.779867
0,2565,5.728157
0,2580,5.676794
0,2595,5.625779
0,2610,5.57511
0,2625,5.524787
0,2640,5.474811
0,2655,5.425178
0,2670,5.37589
0,2685,5.326945
0,2700,5.278343
0,2715,5.230083
0,2730,5.182163
0,2745,5.134585
0,2760,5.087346
0,2775,5.040445
0,2790,4.993883
0,2805,4.947658
0,2820,4.901769
0,2835,4.856216
0,2850,4.810997
0,2865,4.766112
0,2880,4.721559
0,2895,4.677339
0,2910,4.633449
0,2925,4.589888
0,2940,4.546657
0,2955,4.503753
0,2970,4.461176
0,2985,4.418924
0,3000,4.376997
0,3015,4.335394
0,3030,4.294113
0,3045,4.253153
0,3060,4.212513
0,3075,4.172192
0,3090,4.132188
0,3105,4.092501
0,3120,4.053129
0,3135,4.014071
0,3150,3.975326
0,3165,3.936892
0,3180,3.898768
0,3195,3.860953
0,3210,3.823445
0,3225,3.786243
0,3240,3.749347
0,3255,3.712753
0,3270,3.676462
0,3285,3.640471
0,3300,3.604779
0,3315,3.569386
0,3330,3.534288
0,3345,3.499485
0,3360,3.464976
0,3375,3.430759
0,3390,3.396832
0,3405,3.363194
0,3420,3.329844
0,3435,3.296779
0,3450,3.263999
0,3465,3.231502
0,3480,3.199286
0,3495,3.16735
0,3510,3.135692
0,3525,3.10431
0,3540,3.073204
0,3555,3.042371
0,3570,3.01181
0,3585,2.981519
0,3600,2.951497
0,3615,2.921741
0,3630,2.892252
0,3645,2.863026
0,3660,2.834062
0,3675,2.805359
0,3690,2.776914
0,3705,2.748727
0,3720,2.720795
0,3735,2.693118
0,3750,2.665692
0,3765,2.638518
0,3780,2.611592
0,3795,2.584913
0,3810,2.558481
0,3825,2.532292
0,3840,2.506345
0,3855,2.480639
0,3870,2.455173
0,3885,2.429943
0,3900,2.404949
0,3915,2.38019
0,3930,2.355662
0,3945,2.331366
0,3960,2.307298
0,3975,2.283458
0,3990,2.259843
0,4005,2.236452
0,4020,2.213284
0,4035,2.190336
0,4050,2.167608
0,4065,2.145097
0,4080,2.122802
0,4095,2.10072
0,4110,2.078852
0,4125,2.057194
0,4140,2.035745
0,4155,2.014504
0,4170,1.993469
0,4185,1.972639
0,4200,1.952011
0,4215,1.931584
0,4230,1.911357
0,4245,1.891327
0,4260,1.871494
0,4275,1.851856
0,4290,1.832411
0,4305,1.813158
0,4320,1.794094
0,4335,1.775219
0,4350,1.756531
0,4365,1.738028
0,4380,1.719709
0,4395,1.701572
0,4410,1.683616
0,4425,1.665839
0,4440,1.648239
0,4455,1.630816
0,4470,1.613567
0,4485,1.596492
0,4500,1.579588
0,4515,1.562854
0,4530,1.546289
0,4545,1.529891
0,4560,1.513659
0,4575,1.497591
0,4590,1.481686
0,4605,1.465942
0,4620,1.450358
0,4635,1.434933
0,4650,1.419665
0,4665,1.404552
0,4680,1.389594
0,4695,1.374789
0,4710,1.360135
0,4725,1.345632
0,4740,1.331277
0,4755,1.31707
0,4770,1.303008
0,4785,1.289092
0,4800,1.275319
0,4815,1.261687
0,4830,1.248197
0,4845,1.234846
0,4860,1.221633
0,4875,1.208557
0,4890,1.195617
0,4905,1.182811
0,4920,1.170138
0,4935,1.157597
0,4950,1.145187
0,4965,1.132905
0,4980,1.120752
0,4995,1.108726
0,5010,1.096825
0,5025,1.085049
0,5040,1.073396
0,5055,1.061865
0,5070,1.050454
0,5085,1.039164
0,5100,1.027992
0,5115,1.016938
0,5130,1.006
0,5145,0.9951769
0,5160,0.9844679
0,5175,0.9738718
0,5190,0.9633875
0,5205,0.953014
0,5220,0.94275
0,5235,0.9325946
0,5250,0.9225466
0,5265,0.912605
0,5280,0.9027688
0,5295,0.8930368
0,5310,0.8834081
0,5325,0.8738816
0,5340,0.8644564
0,5355,0.8551313
0,5370,0.8459055
0,5385,0.8367778
0,5400,0.8277473
0,5415,0.8188131
0,5430,0.8099741
0,5445,0.8012295
0,5460,0.7925782
0,5475,0.7840192
0,5490,0.7755518
0,5505,0.7671749
0,5520,0.7588876
0,5535,0.750689
0,5550,0.7425782
0,5565,0.7345544
0,5580,0.7266165
0,5595,0.7187638
0,5610,0.7109953
0,5625,0.7033102
0,5640,0.6957077
0,5655,0.6881868
0,5670,0.6807468
0,5685,0.6733868
0,5700,0.666106
0,5715,0.6589035
0,5730,0.6517787
0,5745,0.6447305
0,5760,0.6377584
0,5775,0.6308613
0,5790,0.6240387
0,5805,0.6172897
0,5820,0.6106135
0,5835,0.6040093
0,5850,0.5974765
0,5865,0.5910143
0,5880,0.5846219
0,5895,0.5782986
0,5910,0.5720438
0,5925,0.5658565
0,5940,0.5597363
0,5955,0.5536822
0,5970,0.5476937
0,5985,0.5417701
0,6000,0.5359107
0,6015,0.5301147
0,6030,0.5243816
0,6045,0.5187106
0,6060,0.5131012
0,6075,0.5075526
0,6090,0.5020641
0,6105,0.4966353
0,6120,0.4912654
0,6135,0.4859537
0,6150,0.4806998
0,6165,0.475503
0,6180,0.4703626
