"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
2,48,0.8367723
2,51,0.9638498
2,54,1.090814
2,57,1.215742
2,60,1.336991
2,63,1.453197
2,66,1.563267
2,69,1.666358
2,72,1.761848
2,75,1.849313
2,78,1.928497
2,81,1.999285
2,84,2.061685
2,87,2.1158
2,90,2.161818
2,93,2.199995
2,96,2.230644
2,99,2.254122
2,102,2.270828
2,105,2.28119
2,108,2.285665
2,111,2.284725
2,114,2.278861
2,117,2.26857
2,120,2.254353
2,135,2.141346
2,150,1.997175
2,165,1.85879
2,180,1.742772
2,195,1.651601
2,210,1.581297
2,225,1.526402
2,240,1.482171
2,255,1.445122
2,270,1.412909
2,285,1.384019
2,300,1.357495
2,315,1.332734
2,330,1.309344
2,345,1.287069
2,360,1.265729
2,375,1.245195
2,390,1.225371
2,405,1.206183
2,420,1.187569
2,435,1.169479
2,450,1.151874
2,465,1.134717
2,480,1.11798
2,495,1.101636
2,510,1.085664
2,525,1.070044
2,540,1.054759
2,555,1.039794
2,570,1.025136
2,585,1.010773
2,600,0.9966943
2,615,0.9828895
2,630,0.96935
2,645,0.9560675
2,660,0.9430342
2,675,0.9302433
2,690,0.9176877
2,705,0.9053615
2,720,0.8932586
2,735,0.8813733
2,750,0.8697004
2,765,0.8582346
2,780,0.8469712
2,795,0.8359051
2,810,0.8250321
2,825,0.8143476
2,840,0.8038473
2,855,0.7935271
2,870,0.783383
2,885,0.773411
2,900,0.7636074
2,915,0.7539685
2,930,0.7444905
2,945,0.7351701
2,960,0.7260037
2,975,0.716988
2,990,0.7081198
2,1005,0.6993958
2,1020,0.6908129
2,1035,0.6823681
2,1050,0.6740584
2,1065,0.6658808
2,1080,0.6578325
2,1095,0.6499108
2,1110,0.6421129
2,1125,0.6344362
2,1140,0.626878
2,1155,0.6194359
2,1170,0.6121073
2,1185,0.6048899
2,1200,0.5977813
2,1215,0.5907792
2,1230,0.5838813
2,1245,0.5770853
2,1260,0.5703893
2,1275,0.563791
2,1290,0.5572885
2,1305,0.5508797
2,1320,0.5445627
2,1335,0.5383355
2,1350,0.5321963
2,1365,0.5261434
2,1380,0.5201749
2,1395,0.514289
2,1410,0.5084841
2,1425,0.5027586
2,1440,0.4971109
3,0,0
3,3,8.338742E-07
3,6,3.431036E-05
3,9,0.0002326217
3,12,0.0008386877
3,15,0.002203224
3,18,0.004780296
3,21,0.009108542
3,24,0.01577779
3,27,0.02538779
3,30,0.0385083
3,33,0.0556462
3,36,0.07722279
3,39,0.1035606
3,42,0.1348781
3,45,0.1712915
3,48,0.2128191
3,51,0.2593901
3,54,0.3108537
3,57,0.3669912
3,60,0.4275265
3,63,0.4921389
3,66,0.5604735
3,69,0.6321523
3,72,0.7067834
3,75,0.7839699
3,78,0.8633168
3,81,0.9444375
3,84,1.026958
3,87,1.110522
3,90,1.194791
3,93,1.279449
3,96,1.364203
3,99,1.448783
3,102,1.532939
3,105,1.616448
3,108,1.699105
3,111,1.780727
3,114,1.861151
3,117,1.940231
3,120,2.017839
3,135,2.380311
3,150,2.694217
3,165,2.955564
3,180,3.163772
3,195,3.320444
3,210,3.42878
3,225,3.493272
3,240,3.519443
3,255,3.513488
3,270,3.481828
3,285,3.430631
3,300,3.365419
3,315,3.290832
3,330,3.210544
3,345,3.127329
3,360,3.043187
3,375,2.959502
3,390,2.877195
3,405,2.79685
3,420,2.718812
