"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
2,33,0.1028802
2,36,0.1336551
2,39,0.1657479
2,42,0.1980828
2,45,0.2299036
2,48,0.2607337
2,51,0.2902972
2,54,0.3184409
2,57,0.3450849
2,60,0.3701921
2,63,0.3937449
2,66,0.4157351
2,69,0.4361684
2,72,0.4550675
2,75,0.4724592
2,78,0.4883752
2,81,0.5028661
2,84,0.5159823
2,87,0.5277826
2,90,0.5383407
2,93,0.5477263
2,96,0.5560149
2,99,0.5632866
2,102,0.5696184
2,105,0.5750881
2,108,0.5797722
2,111,0.5837441
2,114,0.5870743
2,117,0.5898297
2,120,0.5920734
2,135,0.5975232
2,150,0.5972108
2,165,0.5945792
2,180,0.5913698
2,195,0.5882372
2,210,0.5851778
2,225,0.5817466
2,240,0.577057
2,255,0.5694677
2,270,0.5555822
2,285,0.5278035
2,300,0.475643
2,315,0.41607
2,330,0.3766556
2,345,0.3506809
2,360,0.3299292
2,375,0.3116804
2,390,0.2950888
2,405,0.2798006
2,420,0.265613
2,435,0.2523874
2,450,0.2400201
2,465,0.2284297
2,480,0.2175496
2,495,0.2073239
2,510,0.1977042
2,525,0.1886481
2,540,0.1801177
2,555,0.1720789
2,570,0.1645005
2,585,0.1573539
2,600,0.1506126
2,615,0.1442522
2,630,0.1382499
2,645,0.1325842
2,660,0.1272354
2,675,0.1221847
2,690,0.1174146
2,705,0.1129086
2,720,0.1086512
2,735,0.1046279
2,750,0.100825
2,765,0.09722959
2,780,0.09382944
2,795,0.09061313
2,810,0.08756987
2,825,0.08468948
2,840,0.08196239
2,855,0.07937956
2,870,0.07693246
2,885,0.07461309
2,900,0.07241388
2,915,0.07032772
2,930,0.06834788
2,945,0.06646805
2,960,0.06468228
2,975,0.06298494
2,990,0.06137077
2,1005,0.05983479
2,1020,0.05837232
2,1035,0.05697894
2,1050,0.05565051
2,1065,0.05438313
2,1080,0.05317313
2,1095,0.05201704
2,1110,0.05091162
2,1125,0.04985381
2,1140,0.04884074
2,1155,0.0478697
2,1170,0.04693817
2,1185,0.04604374
2,1200,0.0451842
2,1215,0.04435741
2,1230,0.04356143
2,1245,0.04279437
2,1260,0.04205452
2,1275,0.04134023
2,1290,0.04064997
2,1305,0.0399823
2,1320,0.03933589
2,1335,0.03870945
2,1350,0.03810182
2,1365,0.03751189
2,1380,0.0369386
2,1395,0.03638101
2,1410,0.03583819
2,1425,0.03530929
2,1440,0.03479353
3,0,0
3,3,2.335477E-06
3,6,8.329742E-05
3,9,0.0005518973
3,12,0.00201444
3,15,0.005388686
3,18,0.0118503
3,21,0.02267525
3,24,0.03897655
3,27,0.06140463
3,30,0.08993152
3,33,0.1238248
3,36,0.1618346
3,39,0.2024921
3,42,0.2443926
3,45,0.2863715
3,48,0.3275598
3,51,0.3673597
3,54,0.4053856
3,57,0.4414039
3,60,0.4752829
3,63,0.5069599
3,66,0.5364187
3,69,0.5636765
3,72,0.5887731
3,75,0.6117636
3,78,0.6327167
3,81,0.6517126
3,84,0.6688406
3,87,0.6841952
3,90,0.697874
3,93,0.7099771
3,96,0.7206063
3,99,0.7298633
3,102,0.7378485
3,105,0.7446592
3,108,0.7503903
3,111,0.7551335
3,114,0.7589761
3,117,0.7620012
3,120,0.7642869
3,135,0.767041
3,150,0.7603885
3,165,0.7491795
3,180,0.7362519
3,195,0.7230455
3,210,0.7100704
3,225,0.6971794
3,240,0.6836072
3,255,0.6676136
3,270,0.6451203
3,285,0.6060333
3,300,0.5404364
3,315,0.4799614
3,330,0.4409918
3,345,0.4116817
3,360,0.3864927
3,375,0.3638232
3,390,0.3430698
3,405,0.323908
3,420,0.3061237
3,435,0.2895602
3,450,0.2740963
3,465,0.2596334
3,480,0.2460893
3,495,0.2333933
3,510,0.2214833
3,525,0.2103043
3,540,0.1998065
3,555,0.1899446
3,570,0.1806773
3,585,0.1719665
3,600,0.1637769
3,615,0.1560758
3,630,0.1488327
3,645,0.142019
3,660,0.1356084
3,675,0.129576
3,690,0.1238984
3,705,0.1185539
3,720,0.113522
3,735,0.1087836
3,750,0.1043206
3,765,0.1001161
3,780,0.09615429
3,795,0.09242022
3,810,0.08889988
3,825,0.08558012
3,840,0.08244858
3,855,0.07949365
3,870,0.07670443
3,885,0.07407066
3,900,0.07158274
3,915,0.06923163
3,930,0.06700884
3,945,0.0649064
3,960,0.06291683
3,975,0.06103311
3,990,0.05924863
3,1005,0.05755722
3,1020,0.05595306
3,1035,0.0544307
3,1050,0.05298503
3,1065,0.05161124
3,1080,0.05030483
3,1095,0.04906159
3,1110,0.04787755
3,1125,0.04674901
3,1140,0.04567247
3,1155,0.04464469
3,1170,0.0436626
3,1185,0.04272335
3,1200,0.04182424
3,1215,0.04096276
3,1230,0.04013657
3,1245,0.03934347
3,1260,0.03858138
3,1275,0.03784838
3,1290,0.03714266
3,1305,0.03646255
3,1320,0.03580645
3,1335,0.03517289
3,1350,0.03456049
3,1365,0.03396797
3,1380,0.03339412
3,1395,0.03283781
3,1410,0.03229799
3,1425,0.03177369
3,1440,0.03126398
4,0,0
4,3,1.115701E-05
4,6,0.000430088
4,9,0.002786763
4,12,0.009358239
4,15,0.02243906
4,18,0.04391607
4,21,0.07506801
4,24,0.1164944
4,27,0.1681328
4,30,0.2293389
4,33,0.2990016
4,36,0.3756762
4,39,0.4577154
4,42,0.5433879
4,45,0.6309762
4,48,0.7188523
4,51,0.8055325
4,54,0.8897135
4,57,0.9702936
4,60,1.04638
4,63,1.117283
4,66,1.182501
4,69,1.241709
4,72,1.294737
4,75,1.341551
4,78,1.38223
4,81,1.416943
4,84,1.445934
4,87,1.469501
4,90,1.48798
4,93,1.501735
4,96,1.511143
4,99,1.516582
4,102,1.518432
4,105,1.517059
4,108,1.512815
4,111,1.506036
4,114,1.497036
4,117,1.486107
4,120,1.473519
4,135,1.393596
4,150,1.300548
4,165,1.207149
4,180,1.119426
4,195,1.039596
4,210,0.9679465
4,225,0.9038942
4,240,0.846539
4,255,0.7949368
4,270,0.7482197
4,285,0.7056396
4,300,0.6665738
4,315,0.6305141
4,330,0.5970501
4,345,0.5658513
4,360,0.5366512
4,375,0.5092341
4,390,0.4834239
4,405,0.4590752
4,420,0.4360663
4,435,0.4142945
4,450,0.3936716
4,465,0.3741206
4,480,0.3555737
4,495,0.3379705
4,510,0.3212564
4,525,0.3053815
4,540,0.2903003
4,555,0.2759703
4,570,0.2623523
4,585,0.2494095
4,600,0.2371075
4,615,0.2254138
4,630,0.2142978
4,645,0.2037307
4,660,0.1936851
4,675,0.1841351
4,690,0.1750562
4,705,0.1664251
4,720,0.1582197
4,735,0.150419
4,750,0.1430031
4,765,0.1359529
4,780,0.1292505
4,795,0.1228787
4,810,0.1168213
4,825,0.1110628
4,840,0.1055885
4,855,0.1003844
4,870,0.09543708
4,885,0.09073401
4,900,0.08626313
4,915,0.08201299
4,930,0.0779727
4,945,0.07413194
4,960,0.07048084
4,975,0.06701007
4,990,0.06371073
4,1005,0.06057435
4,1020,0.0575929
4,1035,0.05475873
4,1050,0.05206456
4,1065,0.04950349
4,1080,0.04706894
4,1095,0.04475467
4,1110,0.04255472
4,1125,0.04046347
4,1140,0.03847552
4,1155,0.03658579
4,1170,0.03478941
4,1185,0.03308176
4,1200,0.03145846
4,1215,0.02991535
4,1230,0.02844845
4,1245,0.027054
4,1260,0.02572841
4,1275,0.02446828
4,1290,0.02327038
4,1305,0.02213162
4,1320,0.02104907
4,1335,0.02001997
4,1350,0.01904165
4,1365,0.01811162
4,1380,0.01722748
4,1395,0.01638696
4,1410,0.0155879
4,1425,0.01482826
4,1440,0.01410608
5,0,0
5,3,1.379755E-05
5,6,0.0004716712
5,9,0.002970733
5,12,0.01014003
5,15,0.02506968
5,18,0.05070148
5,21,0.08934441
5,24,0.1423093
5,27,0.2096644
5,30,0.2901772
5,33,0.3814926
5,36,0.4805122
5,39,0.5838497
5,42,0.6882268
5,45,0.7907426
5,48,0.8889893
5,51,0.9810839
5,54,1.065646
5,57,1.141742
5,60,1.208832
5,63,1.266704
5,66,1.315417
5,69,1.355255
5,72,1.386661
5,75,1.410208
5,78,1.42655
5,81,1.436389
5,84,1.440453
5,87,1.439464
5,90,1.434124
5,93,1.425104
5,96,1.413029
5,99,1.398473
5,102,1.381959
5,105,1.363953
5,108,1.344866
5,111,1.325055
5,114,1.30483
5,117,1.284452
5,120,1.264137
5,135,1.168659
5,150,1.089642
5,165,1.027906
5,180,0.9799187
5,195,0.9411642
5,210,0.907182
5,225,0.8731273
5,240,0.8318391
5,255,0.7722425
5,270,0.6983553
5,285,0.639159
5,300,0.5961441
5,315,0.5606684
5,330,0.52916
5,345,0.5004072
5,360,0.4738654
5,375,0.4492071
5,390,0.4262016
5,405,0.4046741
5,420,0.3844855
5,435,0.3655217
5,450,0.3476863
5,465,0.3308958
5,480,0.315077
5,495,0.3001642
5,510,0.2860981
5,525,0.2728248
5,540,0.2602946
5,555,0.2484618
5,570,0.2372838
5,585,0.2267212
5,600,0.2167372
5,615,0.2072972
5,630,0.198369
5,645,0.1899225
5,660,0.1819292
5,675,0.1743626
5,690,0.1671977
5,705,0.1604109
5,720,0.1539802
5,735,0.1478848
5,750,0.1421053
5,765,0.1366231
5,780,0.1314211
5,795,0.126483
5,810,0.1217935
5,825,0.1173382
5,840,0.1131037
5,855,0.109077
5,870,0.1052464
5,885,0.1016004
5,900,0.0981286
5,915,0.09482093
5,930,0.09166805
5,945,0.08866113
5,960,0.08579189
5,975,0.08305252
5,990,0.08043572
5,1005,0.07793457
5,1020,0.0755426
5,1035,0.07325371
5,1050,0.07106219
5,1065,0.06896264
5,1080,0.06695001
5,1095,0.06501953
5,1110,0.06316674
5,1125,0.06138743
5,1140,0.05967765
5,1155,0.05803368
5,1170,0.05645204
5,1185,0.05492945
5,1200,0.05346282
5,1215,0.05204925
5,1230,0.05068602
5,1245,0.04937056
5,1260,0.04810048
5,1275,0.04687351
5,1290,0.04568752
5,1305,0.0445405
5,1320,0.04343058
5,1335,0.042356
5,1350,0.04131508
5,1365,0.04030626
5,1380,0.03932806
5,1395,0.03837912
5,1410,0.03745811
5,1425,0.03656381
5,1440,0.03569507
6,0,0
6,3,5.447837E-06
6,6,0.000197801
6,9,0.001240105
6,12,0.004161993
6,15,0.01015683
6,18,0.02041738
6,21,0.03602246
6,24,0.05787132
6,27,0.08664171
6,30,0.1227549
6,33,0.1663444
6,36,0.2172356
6,39,0.2749441
6,42,0.3386981
6,45,0.4074893
6,48,0.4801435
6,51,0.5554035
6,54,0.632014
6,57,0.7087978
6,60,0.7847089
6,63,0.8588643
6,66,0.9305546
6,69,0.9992384
6,72,1.064524
6,75,1.126147
6,78,1.183943
6,81,1.237836
6,84,1.287808
6,87,1.333898
6,90,1.376193
6,93,1.414811
6,96,1.44988
6,99,1.481534
6,102,1.509937
6,105,1.535279
6,108,1.55774
6,111,1.577474
6,114,1.594641
6,117,1.609437
6,120,1.622058
6,135,1.657827
6,150,1.66096
6,165,1.645317
6,180,1.620168
6,195,1.590961
6,210,1.560113
6,225,1.527437
6,240,1.489678
6,255,1.437778
6,270,1.351431
6,285,1.22557
6,300,1.118906
6,315,1.043386
6,330,0.9822973
6,345,0.9285644
6,360,0.8797633
6,375,0.8347837
6,390,0.7929646
6,405,0.7538567
6,420,0.7171334
6,435,0.6825475
6,450,0.6499043
6,465,0.619046
6,480,0.5898408
6,495,0.5621759
6,510,0.5359527
6,525,0.5110831
6,540,0.4874882
6,555,0.4650953
6,570,0.4438379
6,585,0.4236542
6,600,0.4044866
6,615,0.3862814
6,630,0.3689879
6,645,0.3525585
6,660,0.3369485
6,675,0.3221155
6,690,0.3080195
6,705,0.2946227
6,720,0.2818891
6,735,0.269785
6,750,0.258278
6,765,0.2473377
6,780,0.2369352
6,795,0.227043
6,810,0.2176351
6,825,0.2086869
6,840,0.2001749
6,855,0.1920768
6,870,0.1843716
6,885,0.1770393
6,900,0.1700608
6,915,0.163418
6,930,0.157094
6,945,0.1510724
6,960,0.1453378
6,975,0.1398756
6,990,0.1346719
6,1005,0.1297135
6,1020,0.1249879
6,1035,0.1204833
6,1050,0.1161884
6,1065,0.1120925
6,1080,0.1081855
6,1095,0.1044578
6,1110,0.1009002
6,1125,0.09750409
6,1140,0.09426128
6,1155,0.09116397
6,1170,0.08820477
6,1185,0.08537667
6,1200,0.08267304
6,1215,0.08008756
6,1230,0.07761426
6,1245,0.07524749
6,1260,0.07298185
6,1275,0.07081226
6,1290,0.06873389
6,1305,0.06674214
6,1320,0.06483269
6,1335,0.06300141
6,1350,0.0612444
6,1365,0.05955795
6,1380,0.05793857
6,1395,0.05638292
6,1410,0.05488785
6,1425,0.05345038
6,1440,0.05206768
7,0,0
7,3,1.470738E-05
7,6,0.0005216386
7,9,0.003399527
7,12,0.01191087
7,15,0.02997657
7,18,0.06126106
7,21,0.1083382
7,24,0.1720429
7,27,0.2511777
7,30,0.3427311
7,33,0.442539
7,36,0.5460779
7,39,0.6491075
7,42,0.7480419
7,45,0.8400931
7,48,0.9232678
7,51,0.9962869
7,54,1.058491
7,57,1.109731
7,60,1.150258
7,63,1.180626
7,66,1.201604
7,69,1.214099
7,72,1.219093
7,75,1.217595
7,78,1.210596
7,81,1.199045
7,84,1.183826
7,87,1.165742
7,90,1.145516
7,93,1.12378
7,96,1.101079
7,99,1.077878
7,102,1.054563
7,105,1.031448
7,108,1.008784
7,111,0.9867691
7,114,0.9655486
7,117,0.9452276
7,120,0.9258757
7,135,0.8443094
7,150,0.7857654
7,165,0.7443041
7,180,0.7140035
7,195,0.6903369
7,210,0.6700653
7,225,0.650618
7,240,0.6291263
7,255,0.6006222
7,270,0.5564127
7,285,0.5004238
7,300,0.4574586
7,315,0.4274388
7,330,0.40287
7,345,0.380973
7,360,0.360896
7,375,0.342289
7,390,0.3249512
7,405,0.3087422
7,420,0.2935542
7,435,0.2793001
7,450,0.2659063
7,465,0.2533092
7,480,0.2414528
7,495,0.230287
7,510,0.2197662
7,525,0.209849
7,540,0.2004971
7,555,0.1916752
7,570,0.1833505
7,585,0.1754923
7,600,0.1680723
7,615,0.1610636
7,630,0.1544414
7,645,0.1481824
7,660,0.1422645
7,675,0.1366672
7,690,0.1313712
7,705,0.1263584
7,720,0.1216117
7,735,0.1171152
7,750,0.1128537
7,765,0.1088133
7,780,0.1049806
7,795,0.1013433
7,810,0.09788948
7,825,0.09460831
7,840,0.09148942
7,855,0.08852313
7,870,0.08570033
7,885,0.08301248
7,900,0.08045155
7,915,0.07801002
7,930,0.07568081
7,945,0.07345729
7,960,0.07133323
7,975,0.0693028
7,990,0.06736051
7,1005,0.06550121
7,1020,0.0637201
7,1035,0.06201264
7,1050,0.06037459
7,1065,0.05880198
7,1080,0.05729108
7,1095,0.0558384
7,1110,0.05444065
7,1125,0.05309477
7,1140,0.05179788
7,1155,0.05054729
7,1170,0.04934046
7,1185,0.04817504
7,1200,0.0470488
7,1215,0.04595966
7,1230,0.04490569
7,1245,0.04388505
7,1260,0.04289604
7,1275,0.04193706
7,1290,0.04100661
7,1305,0.04010329
7,1320,0.03922578
7,1335,0.03837286
7,1350,0.03754336
7,1365,0.03673621
7,1380,0.0359504
7,1395,0.03518497
7,1410,0.03443903
7,1425,0.03371176
7,1440,0.03300238
8,0,0
8,3,2.801103E-06
8,6,0.00010633
8,9,0.0006807713
8,12,0.002304022
8,15,0.005628861
8,18,0.01128304
8,21,0.01981302
8,24,0.03166183
8,27,0.04715995
8,30,0.06651554
8,33,0.08980045
8,36,0.1169364
8,39,0.1476882
8,42,0.1816701
8,45,0.2183658
8,48,0.2571645
8,51,0.2974054
8,54,0.3384252
8,57,0.3795974
8,60,0.4203605
8,63,0.4602386
8,66,0.4988469
8,69,0.535886
8,72,0.5711338
8,75,0.6044363
8,78,0.6356939
8,81,0.6648493
8,84,0.6918823
8,87,0.7168008
8,90,0.7396331
8,93,0.760426
8,96,0.7792407
8,99,0.7961494
8,102,0.8112323
8,105,0.8245751
8,108,0.8362686
8,111,0.8464077
8,114,0.8550889
8,117,0.8624097
8,120,0.8684663
8,135,0.8830343
8,150,0.8790492
8,165,0.8648746
8,180,0.8462291
8,195,0.8265623
8,210,0.8076245
8,225,0.7899895
8,240,0.7734219
8,255,0.7570301
8,270,0.7391101
8,285,0.716435
8,300,0.6827574
8,315,0.6309609
8,330,0.5728442
8,345,0.5291316
8,360,0.4971849
8,375,0.470528
8,390,0.4466196
8,405,0.4246069
8,420,0.4041182
8,435,0.3849339
8,450,0.3669002
8,465,0.3499007
8,480,0.3338435
8,495,0.3186536
8,510,0.3042681
8,525,0.2906328
8,540,0.2777004
8,555,0.2654286
8,570,0.2537794
8,585,0.2427177
8,600,0.2322116
8,615,0.222231
8,630,0.2127481
8,645,0.2037369
8,660,0.1951726
8,675,0.1870323
8,690,0.179294
8,705,0.171937
8,720,0.1649418
8,735,0.1582898
8,750,0.1519635
8,765,0.1459461
8,780,0.1402218
8,795,0.1347757
8,810,0.1295934
8,825,0.1246615
8,840,0.1199672
8,855,0.1154982
8,870,0.1112429
8,885,0.1071905
8,900,0.1033305
8,915,0.09965298
8,930,0.09614859
8,945,0.0928084
8,960,0.08962399
8,975,0.08658732
8,990,0.08369081
8,1005,0.08092723
8,1020,0.07828974
8,1035,0.07577184
8,1050,0.07336737
8,1065,0.07107051
8,1080,0.0688757
8,1095,0.06677771
8,1110,0.06477155
8,1125,0.0628525
8,1140,0.0610161
8,1155,0.05925809
8,1170,0.05757446
8,1185,0.05596141
8,1200,0.05441531
8,1215,0.05293276
8,1230,0.05151051
8,1245,0.05014549
8,1260,0.0488348
8,1275,0.04757569
8,1290,0.04636553
8,1305,0.04520188
8,1320,0.04408237
8,1335,0.04300481
8,1350,0.0419671
8,1365,0.04096724
8,1380,0.04000336
8,1395,0.03907368
8,1410,0.03817652
8,1425,0.03731028
8,1440,0.03647345
9,0,0
9,3,2.522084E-05
9,6,0.000873411
9,9,0.005496006
9,12,0.01859932
9,15,0.04528932
9,18,0.08971821
9,21,0.1541744
9,24,0.2386398
9,27,0.3407785
9,30,0.4563386
9,33,0.5798807
9,36,0.7056252
9,39,0.8281947
9,42,0.9431008
9,45,1.046964
9,48,1.137541
9,51,1.213621
9,54,1.274868
9,57,1.321628
9,60,1.354765
9,63,1.375486
9,66,1.385215
9,69,1.385471
9,72,1.377785
9,75,1.363633
9,78,1.344391
9,81,1.321303
9,84,1.295467
9,87,1.267832
9,90,1.239195
9,93,1.210214
9,96,1.181416
9,99,1.153214
9,102,1.125919
9,105,1.099755
9,108,1.074874
9,111,1.051366
9,114,1.029274
9,117,1.008601
9,120,0.9893212
9,135,0.9116691
9,150,0.8577757
9,165,0.8176191
9,180,0.7827262
9,195,0.7443907
9,210,0.6901885
9,225,0.6180766
9,240,0.5588739
9,255,0.5180624
9,270,0.485505
9,285,0.456884
9,300,0.4308551
9,315,0.4068741
9,330,0.384632
9,345,0.3639145
9,360,0.3445591
9,375,0.3264357
9,390,0.3094368
9,405,0.2934714
9,420,0.2784609
9,435,0.2643363
9,450,0.251036
9,465,0.2385047
9,480,0.226692
9,495,0.215552
9,510,0.2050423
9,525,0.195124
9,540,0.1857606
9,555,0.1769186
9,570,0.1685664
9,585,0.1606748
9,600,0.1532163
9,615,0.1461651
9,630,0.1394971
9,645,0.1331899
9,660,0.1272221
9,675,0.1215739
9,690,0.1162265
9,705,0.1111624
9,720,0.106365
9,735,0.1018189
9,750,0.09750946
9,765,0.09342294
9,780,0.08954647
9,795,0.08586793
9,810,0.08237591
9,825,0.07905971
9,840,0.07590924
9,855,0.07291505
9,870,0.07006821
9,885,0.06736036
9,900,0.06478361
9,915,0.06233056
9,930,0.05999426
9,945,0.05776815
9,960,0.05564608
9,975,0.05362226
9,990,0.05169125
9,1005,0.04984793
9,1020,0.04808749
9,1035,0.04640539
9,1050,0.04479739
9,1065,0.04325948
9,1080,0.04178789
9,1095,0.04037908
9,1110,0.03902973
9,1125,0.0377367
9,1140,0.03649703
9,1155,0.03530796
9,1170,0.03416688
9,1185,0.03307132
9,1200,0.03201898
9,1215,0.03100767
9,1230,0.03003535
9,1245,0.02910009
9,1260,0.02820007
9,1275,0.02733358
9,1290,0.026499
9,1305,0.02569481
9,1320,0.02491958
9,1335,0.02417196
9,1350,0.02345067
9,1365,0.02275451
9,1380,0.02208235
9,1395,0.02143312
9,1410,0.02080579
9,1425,0.02019943
9,1440,0.01961312
10,0,0
10,3,3.490313E-06
10,6,0.0001503958
10,9,0.001422053
10,12,0.00706524
10,15,0.02218664
