"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,6.831034E-07
0,6,3.015267E-05
0,9,0.0002114836
0,12,0.0007603244
0,15,0.0019377
0,18,0.00401009
0,21,0.007224541
0,24,0.01179537
0,27,0.01789794
0,30,0.02566709
0,33,0.03519835
0,36,0.04655051
0,39,0.05974931
0,42,0.07479166
0,45,0.09164991
0,48,0.1102762
0,51,0.1306065
0,54,0.1525644
0,57,0.1760646
0,60,0.2010156
0,63,0.2273227
0,66,0.2548898
0,69,0.2836211
0,72,0.3134228
0,75,0.3442041
0,78,0.3758779
0,81,0.4083612
0,84,0.441576
0,87,0.4754492
0,90,0.5099123
0,93,0.5449023
0,96,0.5803604
0,99,0.616233
0,102,0.6524706
0,105,0.6890278
0,108,0.7258635
0,111,0.7629396
0,114,0.8002219
0,117,0.8376788
0,120,0.8752817
0,135,1.064645
0,150,1.254535
0,165,1.443205
0,180,1.629356
0,195,1.811927
0,210,1.989998
0,225,2.162747
0,240,2.329444
0,255,2.489453
0,270,2.642231
0,285,2.787342
0,300,2.924447
0,315,3.053308
0,330,3.173783
0,345,3.285817
0,360,3.389439
0,375,3.484746
0,390,3.5719
0,405,3.651116
0,420,3.722653
0,435,3.786807
0,450,3.843897
0,465,3.894265
0,480,3.938263
0,495,3.976252
0,510,4.008592
0,525,4.035641
0,540,4.057751
0,555,4.075264
0,570,4.088511
0,585,4.097808
0,600,4.103458
0,615,4.105751
0,630,4.104957
0,645,4.101334
0,660,4.095122
0,675,4.086547
0,690,4.075821
0,705,4.063139
0,720,4.048685
0,735,4.032627
0,750,4.015122
0,765,3.996316
0,780,3.976343
0,795,3.955324
0,810,3.933375
0,825,3.910599
0,840,3.887092
0,855,3.862942
0,870,3.838228
0,885,3.813025
0,900,3.787399
0,915,3.761411
0,930,3.735119
0,945,3.708571
0,960,3.681814
0,975,3.654891
0,990,3.62784
0,1005,3.600694
0,1020,3.573485
0,1035,3.546243
0,1050,3.518991
0,1065,3.491754
0,1080,3.464551
0,1095,3.437402
0,1110,3.410324
0,1125,3.383332
0,1140,3.356439
0,1155,3.329656
0,1170,3.302996
0,1185,3.276467
0,1200,3.250078
0,1215,3.223837
0,1230,3.19775
0,1245,3.171823
0,1260,3.14606
0,1275,3.120467
0,1290,3.095047
0,1305,3.069804
0,1320,3.04474
0,1335,3.019857
0,1350,2.995158
0,1365,2.970644
0,1380,2.946316
0,1395,2.922175
0,1410,2.898222
0,1425,2.874457
0,1440,2.850881
1,0,0
1,3,3.487964E-07
1,6,1.557581E-05
1,9,0.0001400743
1,12,0.0006953983
1,15,0.002385884
1,18,0.006333937
1,21,0.01397327
1,24,0.02685432
1,27,0.04643277
1,30,0.07389349
1,33,0.1100362
1,36,0.1552281
1,39,0.2094108
1,42,0.2721491
1,45,0.3427022
1,48,0.4201047
1,51,0.5032479
1,54,0.5909502
1,57,0.6820167
1,60,0.7752842
1,63,0.8696551
1,66,0.9641188
1,69,1.057764
1,72,1.149784
1,75,1.239476
1,78,1.326238
1,81,1.409562
1,84,1.489025
1,87,1.564286
1,90,1.635072
1,93,1.701177
1,96,1.762448
1,99,1.818785
1,102,1.870136
1,105,1.916486
1,108,1.957863
1,111,1.994326
1,114,2.025969
1,117,2.052912
1,120,2.075304
1,135,2.125859
1,150,2.096446
1,165,2.020439
1,180,1.927032
1,195,1.835628
1,210,1.755653
1,225,1.689549
1,240,1.636138
1,255,1.592959
1,270,1.557497
1,285,1.527658
1,300,1.501861
1,315,1.478979
1,330,1.458226
1,345,1.439065
1,360,1.421123
1,375,1.404141
1,390,1.387937
1,405,1.372377
1,420,1.357361
1,435,1.342813
1,450,1.328673
1,465,1.314894
1,480,1.301437
1,495,1.28827
1,510,1.275368
1,525,1.262708
1,540,1.250272
1,555,1.238044
1,570,1.226011
1,585,1.214163
1,600,1.202488
1,615,1.19098
1,630,1.17963
1,645,1.168432
1,660,1.157381
1,675,1.146471
1,690,1.135699
1,705,1.125061
1,720,1.114552
1,735,1.10417
1,750,1.093911
1,765,1.083774
1,780,1.073755
1,795,1.063851
1,810,1.054062
1,825,1.044384
1,840,1.034816
1,855,1.025355
1,870,1.016001
1,885,1.00675
1,900,0.9976023
1,915,0.988555
1,930,0.9796069
1,945,0.9707564
1,960,0.9620019
1,975,0.9533421
1,990,0.9447756
1,1005,0.9363008
1,1020,0.9279164
1,1035,0.9196211
1,1050,0.9114135
1,1065,0.9032923
1,1080,0.8952563
1,1095,0.8873042
1,1110,0.8794349
1,1125,0.871647
1,1140,0.8639395
1,1155,0.856311
1,1170,0.8487606
1,1185,0.8412871
1,1200,0.8338894
1,1215,0.8265665
1,1230,0.8193172
1,1245,0.8121405
1,1260,0.8050354
1,1275,0.7980009
1,1290,0.791036
1,1305,0.7841396
1,1320,0.7773111
1,1335,0.7705492
1,1350,0.7638532
1,1365,0.7572221
1,1380,0.750655
1,1395,0.7441511
1,1410,0.7377095
1,1425,0.7313294
1,1440,0.7250099
2,0,0
2,3,2.458073E-07
2,6,1.053689E-05
2,9,7.260717E-05
2,12,0.0002591358
2,15,0.0006634729
2,18,0.001393532
2,21,0.002568245
2,24,0.004314779
2,27,0.006765713
2,30,0.01005606
2,33,0.01432025
2,36,0.01968913
2,39,0.02628735
2,42,0.03423096
2,45,0.04362538
2,48,0.05456385
2,51,0.06712621
2,54,0.08137804
2,57,0.09737022
2,60,0.1151388
2,63,0.1347052
2,66,0.1560764
2,69,0.1792461
2,72,0.204195
2,75,0.2308923
2,78,0.2592964
2,81,0.2893566
2,84,0.3210139
2,87,0.354202
2,90,0.3888495
2,93,0.4248799
2,96,0.4622135
2,99,0.500768
2,102,0.5404597
2,105,0.5812041
2,108,0.6229166
2,111,0.6655138
2,114,0.7089128
2,117,0.7530331
2,120,0.7977958
2,135,1.028669
2,150,1.265348
2,165,1.50117
2,180,1.731114
2,195,1.951485
2,210,2.159599
2,225,2.353538
2,240,2.531982
2,255,2.694096
2,270,2.839462
2,285,2.968031
2,300,3.080091
2,315,3.17622
2,330,3.257255
2,345,3.324229
2,360,3.378321
2,375,3.420794
2,390,3.452934
2,405,3.476007
2,420,3.491213
2,435,3.499663
2,450,3.502361
2,465,3.500196
2,480,3.493948
2,495,3.48429
2,510,3.471798
2,525,3.456966
2,540,3.44021
2,555,3.421883
2,570,3.402281
2,585,3.381655
2,600,3.360213
2,615,3.338131
2,630,3.315556
2,645,3.29261
2,660,3.269395
2,675,3.245996
2,690,3.222482
2,705,3.198911
2,720,3.175331
2,735,3.15178
2,750,3.128291
2,765,3.10489
2,780,3.081596
2,795,3.058427
2,810,3.035397
2,825,3.012514
2,840,2.989789
2,855,2.967227
2,870,2.944831
2,885,2.922607
2,900,2.900557
2,915,2.87868
2,930,2.856979
2,945,2.835454
2,960,2.814105
2,975,2.79293
2,990,2.771929
2,1005,2.751101
2,1020,2.730445
2,1035,2.70996
2,1050,2.689643
2,1065,2.669494
2,1080,2.649511
2,1095,2.629692
2,1110,2.610036
2,1125,2.590541
2,1140,2.571206
2,1155,2.552029
2,1170,2.533008
2,1185,2.514141
2,1200,2.495428
2,1215,2.476867
2,1230,2.458455
2,1245,2.440193
2,1260,2.422077
2,1275,2.404107
2,1290,2.386281
2,1305,2.368598
2,1320,2.351057
2,1335,2.333655
2,1350,2.316392
2,1365,2.299267
2,1380,2.282277
2,1395,2.265422
2,1410,2.2487
2,1425,2.232111
2,1440,2.215652
3,0,0
3,3,1.49474E-07
3,6,6.795547E-06
3,9,5.005066E-05
3,12,0.0002003737
3,15,0.0005932113
3,18,0.001452808
3,21,0.003102834
3,24,0.00596042
3,27,0.01051576
3,30,0.01730214
3,33,0.02686185
3,36,0.03971256
3,39,0.05631756
3,42,0.07706244
3,45,0.1022392
3,48,0.1320378
3,51,0.166544
3,54,0.2057444
3,57,0.249534
3,60,0.2977288
3,63,0.3500786
3,66,0.4062817
3,69,0.4659985
3,72,0.5288643
3,75,0.5945013
3,78,0.6625286
3,81,0.7325698
3,84,0.8042605
3,87,0.8772523
3,90,0.9512173
3,93,1.025849
3,96,1.100866
3,99,1.176008
3,102,1.251042
3,105,1.325755
3,108,1.399957
3,111,1.473478
3,114,1.546167
3,117,1.61789
3,120,1.688529
3,135,2.022266
3,150,2.317886
3,165,2.571033
3,180,2.780125
3,195,2.945541
3,210,3.069379
3,225,3.155346
3,240,3.208508
3,255,3.234806
3,270,3.240407
3,285,3.231074
3,300,3.211717
3,315,3.186179
3,330,3.157258
3,345,3.12686
3,360,3.096206
3,375,3.066025
3,390,3.036717
3,405,3.008473
3,420,2.981352
3,435,2.955337
3,450,2.930372
3,465,2.906378
3,480,2.883267
3,495,2.860953
3,510,2.839353
3,525,2.818389
3,540,2.797994
3,555,2.778104
3,570,2.758666
3,585,2.73963
3,600,2.720956
3,615,2.702608
3,630,2.684554
3,645,2.666769
3,660,2.649228
3,675,2.631914
3,690,2.614808
3,705,2.597896
3,720,2.581167
3,735,2.564609
3,750,2.548213
3,765,2.531972
3,780,2.515879
3,795,2.499928
3,810,2.484114
3,825,2.468433
3,840,2.45288
3,855,2.437452
3,870,2.422146
3,885,2.406959
3,900,2.391889
3,915,2.376934
3,930,2.362092
3,945,2.34736
3,960,2.332737
3,975,2.318221
3,990,2.303812
3,1005,2.289507
3,1020,2.275305
3,1035,2.261205
3,1050,2.247206
3,1065,2.233306
3,1080,2.219505
3,1095,2.205801
3,1110,2.192194
3,1125,2.178682
3,1140,2.165264
3,1155,2.15194
3,1170,2.138708
3,1185,2.125567
3,1200,2.112517
3,1215,2.099557
3,1230,2.086686
3,1245,2.073902
3,1260,2.061206
3,1275,2.048596
3,1290,2.036072
3,1305,2.023632
3,1320,2.011276
3,1335,1.999003
3,1350,1.986813
3,1365,1.974704
3,1380,1.962676
3,1395,1.950728
3,1410,1.93886
3,1425,1.92707
3,1440,1.915358
4,0,0
4,3,5.113394E-07
4,6,3.3576E-05
4,9,0.0004244368
4,12,0.002425096
4,15,0.008610343
4,18,0.02254901
4,21,0.04800585
4,24,0.08813561
4,27,0.1449481
4,30,0.2191093
4,33,0.3100192
4,36,0.4160558
4,39,0.5348876
4,42,0.6637838
4,45,0.7998756
4,48,0.9403491
4,51,1.082575
4,54,1.224189
4,57,1.363122
4,60,1.497608
4,63,1.626173
4,66,1.747609
4,69,1.860948
4,72,1.965438
4,75,2.060514
4,78,2.145782
4,81,2.220998
4,84,2.286059
4,87,2.340993
4,90,2.38595
4,93,2.421195
4,96,2.447107
4,99,2.464168
4,102,2.472953
4,105,2.474121
4,108,2.468395
4,111,2.456549
4,114,2.439384
4,117,2.417711
4,120,2.39233
4,135,2.234885
4,150,2.074531
4,165,1.943857
4,180,1.847364
4,195,1.778291
4,210,1.728217
4,225,1.690438
4,240,1.660421
4,255,1.635332
4,270,1.613464
4,285,1.5938
4,300,1.575721
4,315,1.558843
4,330,1.542913
4,345,1.527755
4,360,1.513242
4,375,1.499278
4,390,1.485785
4,405,1.472703
4,420,1.459981
4,435,1.447577
4,450,1.435458
4,465,1.423594
4,480,1.411962
4,495,1.400541
4,510,1.389313
4,525,1.378266
4,540,1.367385
4,555,1.356662
4,570,1.346086
4,585,1.33565
4,600,1.325347
4,615,1.315172
4,630,1.305119
4,645,1.295184
4,660,1.285363
4,675,1.275653
4,690,1.26605
4,705,1.256551
4,720,1.247154
4,735,1.237856
4,750,1.228655
4,765,1.219549
4,780,1.210536
4,795,1.201615
4,810,1.192783
4,825,1.184038
4,840,1.17538
4,855,1.166806
4,870,1.158315
4,885,1.149906
4,900,1.141578
4,915,1.133328
4,930,1.125156
4,945,1.11706
4,960,1.10904
4,975,1.101093
4,990,1.093219
4,1005,1.085417
4,1020,1.077685
4,1035,1.070023
4,1050,1.062428
4,1065,1.054901
4,1080,1.04744
4,1095,1.040044
4,1110,1.032712
4,1125,1.025444
4,1140,1.018237
4,1155,1.011091
4,1170,1.004006
4,1185,0.99698
4,1200,0.9900123
4,1215,0.9831022
4,1230,0.9762488
4,1245,0.9694512
4,1260,0.9627086
4,1275,0.9560202
4,1290,0.9493851
4,1305,0.9428027
4,1320,0.9362721
4,1335,0.9297926
4,1350,0.9233635
4,1365,0.916984
4,1380,0.9106535
4,1395,0.9043713
4,1410,0.8981366
4,1425,0.8919488
4,1440,0.8858074
5,0,0
5,3,1.911734E-06
5,6,8.642633E-05
5,9,0.0006199945
5,12,0.002391095
5,15,0.006680968
5,18,0.01518242
5,21,0.02977634
5,24,0.05225394
5,27,0.08407213
5,30,0.1261899
5,33,0.1790008
5,36,0.2423444
5,39,0.3155748
5,42,0.3976608
5,45,0.4872972
5,48,0.5830135
5,51,0.6832685
5,54,0.7865267
5,57,0.8913165
5,60,0.9962723
5,63,1.100161
5,66,1.201896
5,69,1.300543
5,72,1.395316
5,75,1.485575
5,78,1.570812
5,81,1.650644
5,84,1.724798
5,87,1.7931
5,90,1.855463
5,93,1.911878
5,96,1.962404
5,99,2.007152
5,102,2.046287
5,105,2.080012
5,108,2.108565
5,111,2.132211
5,114,2.151237
5,117,2.165946
5,120,2.176653
5,135,2.181368
5,150,2.132446
5,165,2.060727
5,180,1.986013
