"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Gabapentin|Plasma (Peripheral Venous Blood) [µmol/l]"
0,3765,35.42426
0,3780,35.39994
0,3795,35.37564
0,3810,35.35135
0,3825,35.32709
0,3840,35.30285
0,3855,35.27863
0,3870,35.25443
0,3885,35.23025
0,3900,35.20609
0,3915,35.18196
0,3930,35.15784
0,3945,35.13374
0,3960,35.10967
0,3975,35.08561
0,3990,35.06158
0,4005,35.03756
0,4020,35.01357
0,4035,34.9896
0,4050,34.96564
0,4065,34.94171
0,4080,34.9178
0,4095,34.89391
0,4110,34.87004
0,4125,34.84618
0,4140,34.82235
0,4155,34.79854
0,4170,34.77475
0,4185,34.75098
0,4200,34.72723
0,4215,34.7035
0,4230,34.67978
0,4245,34.65609
0,4260,34.63242
0,4275,34.60877
0,4290,34.58514
0,4305,34.56152
0,4320,34.53793
0,4335,34.51435
0,4350,34.4908
0,4365,34.46727
0,4380,34.44375
0,4395,34.42026
0,4410,34.39678
0,4425,34.37333
0,4440,34.34989
0,4455,34.32647
0,4470,34.30307
0,4485,34.2797
0,4500,34.25634
0,4515,34.233
0,4530,34.20967
0,4545,34.18637
0,4560,34.16309
0,4575,34.13983
0,4590,34.11658
0,4605,34.09336
0,4620,34.07015
0,4635,34.04696
0,4650,34.0238
0,4665,34.00064
0,4680,33.97751
0,4695,33.9544
0,4710,33.93131
0,4725,33.90823
0,4740,33.88518
0,4755,33.86214
0,4770,33.83912
0,4785,33.81612
0,4800,33.79314
0,4815,33.77018
0,4830,33.74723
0,4845,33.72431
0,4860,33.7014
0,4875,33.67852
0,4890,33.65564
0,4905,33.63279
0,4920,33.60996
0,4935,33.58714
0,4950,33.56435
0,4965,33.54157
0,4980,33.51881
0,4995,33.49607
0,5010,33.47334
0,5025,33.45063
0,5040,33.42795
0,5055,33.40528
0,5070,33.38263
0,5085,33.35999
0,5100,33.33738
0,5115,33.31478
0,5130,33.2922
0,5145,33.26963
0,5160,33.24709
0,5175,33.22456
0,5190,33.20206
0,5205,33.17957
0,5220,33.15709
0,5235,33.13464
0,5250,33.1122
0,5265,33.08978
0,5280,33.06737
0,5295,33.04499
0,5310,33.02262
0,5325,33.00027
0,5340,32.97794
0,5355,32.95562
0,5370,32.93332
0,5385,32.91104
0,5400,32.88877
0,5415,32.86653
0,5430,32.8443
0,5445,32.82209
0,5460,32.7999
0,5475,32.77772
0,5490,32.75556
0,5505,32.73341
0,5520,32.71129
0,5535,32.68918
0,5550,32.66709
0,5565,32.64501
0,5580,32.62296
0,5595,32.60091
0,5610,32.57889
0,5625,32.55688
0,5640,32.53489
0,5655,32.51292
0,5670,32.49096
0,5685,32.46902
0,5700,32.4471
0,5715,32.42519
0,5730,32.4033
0,5745,32.38143
0,5760,32.35957
0,5775,32.33773
0,5790,32.31591
0,5805,32.2941
0,5820,32.27231
0,5835,32.25054
0,5850,32.22878
0,5865,32.20704
0,5880,32.18531
0,5895,32.1636
0,5910,32.14191
0,5925,32.12024
0,5940,32.09858
0,5955,32.07693
0,5970,32.05531
0,5985,32.0337
0,6000,32.0121
0,6015,31.99053
0,6030,31.96896
0,6045,31.94742
0,6060,31.92589
0,6075,31.90438
0,6090,31.88288
0,6105,31.8614
0,6120,31.83993
0,6135,31.81848
0,6150,31.79705
0,6165,31.77563
0,6180,31.75423
0,6195,31.73284
0,6210,31.71147
0,6225,31.69012
0,6240,31.66878
0,6255,31.64746
0,6270,31.62615
0,6285,31.60486
0,6300,31.58358
0,6315,31.56232
0,6330,31.54108
0,6345,31.51985
0,6360,31.49864
0,6375,31.47744
0,6390,31.45626
0,6405,31.43509
0,6420,31.41394
0,6435,31.39281
0,6450,31.37169
0,6465,31.35058
0,6480,31.32949
0,6495,31.30842
0,6510,31.28736
0,6525,31.26632
0,6540,31.24529
0,6555,31.22428
0,6570,31.20328
0,6585,31.1823
0,6600,31.16133
0,6615,31.14038
0,6630,31.11945
0,6645,31.09853
0,6660,31.07762
0,6675,31.05673
0,6690,31.03586
0,6705,31.015
0,6720,30.99415
0,6735,30.97332
0,6750,30.95251
0,6765,30.93171
0,6780,30.91092
0,6795,30.89015
0,6810,30.8694
0,6825,30.84866
0,6840,30.82793
0,6855,30.80722
0,6870,30.78652
0,6885,30.76584
0,6900,30.74518
0,6915,30.72453
0,6930,30.70389
0,6945,30.68327
0,6960,30.66266
0,6975,30.64207
0,6990,30.62149
0,7005,30.60093
0,7020,30.58038
0,7035,30.55985
0,7050,30.53933
0,7065,30.51883
0,7080,30.49834
0,7095,30.47786
0,7110,30.4574
0,7125,30.43696
0,7140,30.41653
0,7155,30.39611
0,7170,30.37571
0,7185,30.35532
0,7200,30.33495
0,7215,30.31459
0,7230,30.29424
0,7245,30.27391
0,7260,30.2536
0,7275,30.2333
0,7290,30.21301
0,7305,30.19274
0,7320,30.17248
0,7335,30.15224
0,7350,30.13201
0,7365,30.11179
0,7380,30.09159
0,7395,30.0714
0,7410,30.05123
0,7425,30.03107
0,7440,30.01093
0,7455,29.9908
0,7470,29.97068
0,7485,29.95058
0,7500,29.93049
0,7515,29.91042
0,7530,29.89036
0,7545,29.87032
0,7560,29.85028
0,7575,29.83027
0,7590,29.81026
0,7605,29.79027
0,7620,29.7703
0,7635,29.75034
0,7650,29.73039
0,7665,29.71046
0,7680,29.69054
0,7695,29.67063
0,7710,29.65074
0,7725,29.63086
0,7740,29.611
0,7755,29.59115
0,7770,29.57131
0,7785,29.55149
0,7800,29.53168
0,7815,29.51188
0,7830,29.4921
0,7845,29.47234
0,7860,29.45258
0,7875,29.43284
0,7890,29.41312
0,7905,29.3934
0,7920,29.37371
0,7935,29.35402
0,7950,29.33435
0,7965,29.31469
0,7980,29.29505
0,7995,29.27542
0,8010,29.2558
0,8025,29.2362
0,8040,29.21661
0,8055,29.19703
0,8070,29.17747
0,8085,29.15792
0,8100,29.13838
0,8115,29.11886
0,8130,29.09935
0,8145,29.07986
0,8160,29.06038
0,8175,29.04091
0,8190,29.02145
0,8205,29.00201
0,8220,28.98258
0,8235,28.96317
0,8250,28.94377
0,8265,28.92438
0,8280,28.905
0,8295,28.88564
0,8310,28.86629
0,8325,28.84696
0,8340,28.82764
0,8355,28.80833
0,8370,28.78904
0,8385,28.76975
0,8400,28.75049
0,8415,28.73123
0,8430,28.71199
0,8445,28.69276
0,8460,28.67355
0,8475,28.65434
0,8490,28.63515
0,8505,28.61598
0,8520,28.59682
0,8535,28.57767
0,8550,28.55853
0,8565,28.53941
0,8580,28.5203
0,8595,28.5012
0,8610,28.48212
0,8625,28.46305
0,8640,28.44399
0,8655,28.42494
0,8670,28.40591
0,8685,28.38689
0,8700,28.36789
0,8715,28.34889
0,8730,28.32991
0,8745,28.31095
0,8760,28.29199
0,8775,28.27305
0,8790,28.25412
0,8805,28.23521
0,8820,28.21631
0,8835,28.19742
0,8850,28.17854
0,8865,28.15968
0,8880,28.14083
0,8895,28.12199
0,8910,28.10316
0,8925,28.08435
0,8940,28.06555
0,8955,28.04677
0,8970,28.02799
0,8985,28.00923
0,9000,27.99048
0,9015,27.97175
0,9030,27.95303
0,9045,27.93432
0,9060,27.91562
0,9075,27.89693
0,9090,27.87826
0,9105,27.8596
0,9120,27.84096
0,9135,27.82232
0,9150,27.8037
0,9165,27.7851
0,9180,27.7665
0,9195,27.74792
0,9210,27.72935
0,9225,27.71079
0,9240,27.69224
0,9255,27.67371
0,9270,27.65519
0,9285,27.63668
0,9300,27.61819
0,9315,27.59971
0,9330,27.58124
0,9345,27.56278
0,9360,27.54434
0,9375,27.5259
0,9390,27.50748
0,9405,27.48908
0,9420,27.47068
0,9435,27.4523
0,9450,27.43393
0,9465,27.41557
0,9480,27.39723
0,9495,27.37889
0,9510,27.36057
0,9525,27.34227
0,9540,27.32397
0,9555,27.30569
0,9570,27.28742
0,9585,27.26916
0,9600,27.25092
0,9615,27.23268
0,9630,27.21446
0,9645,27.19625
0,9660,27.17806
0,9675,27.15987
0,9690,27.1417
0,9705,27.12354
0,9720,27.10539
0,9735,27.08726
0,9750,27.06914
0,9765,27.05103
0,9780,27.03293
0,9795,27.01484
0,9810,26.99677
0,9825,26.97871
0,9840,26.96066
0,9855,26.94262
0,9870,26.92459
0,9885,26.90658
0,9900,26.88858
0,9915,26.87059
0,9930,26.85262
0,9945,26.83465
0,9960,26.8167
0,9975,26.79876
0,9990,26.78083
0,10005,26.76292
0,10020,26.74501
0,10035,26.72712
0,10050,26.70924
0,10065,26.69138
0,10080,26.67352
0,10095,26.65568
0,10110,26.63784
0,10125,26.62003
0,10140,26.60222
0,10155,26.58442
0,10170,26.56664
0,10185,26.54887
0,10200,26.53111
0,10215,26.51336
0,10230,26.49563
0,10245,26.4779
0,10260,26.46019
0,10275,26.44249
0,10290,26.4248
0,10305,26.40713
0,10320,26.38947
0,10335,26.37181
0,10350,26.35417
0,10365,26.33655
0,10380,26.31893
0,10395,26.30132
0,10410,26.28373
0,10425,26.26615
0,10440,26.24858
0,10455,26.23103
0,10470,26.21348
0,10485,26.19595
0,10500,26.17843
0,10515,26.16092
0,10530,26.14342
0,10545,26.12593
0,10560,26.10846
0,10575,26.091
0,10590,26.07354
0,10605,26.0561
0,10620,26.03868
0,10635,26.02126
0,10650,26.00386
0,10665,25.98647
0,10680,25.96909
0,10695,25.95172
0,10710,25.93436
0,10725,25.91701
0,10740,25.89968
0,10755,25.88236
0,10770,25.86505
0,10785,25.84775
0,10800,25.83046
0,10815,25.81318
0,10830,25.79592
0,10845,25.77867
0,10860,25.76143
0,10875,25.7442
0,10890,25.72698
0,10905,25.70977
0,10920,25.69258
0,10935,25.6754
0,10950,25.65822
0,10965,25.64107
0,10980,25.62392
0,10995,25.60678
0,11010,25.58965
0,11025,25.57254
0,11040,25.55544
0,11055,25.53835
0,11070,25.52127
0,11085,25.5042
0,11100,25.48714
0,11115,25.4701
0,11130,25.45306
0,11145,25.43604
0,11160,25.41903
0,11175,25.40203
0,11190,25.38504
0,11205,25.36807
0,11220,25.3511
0,11235,25.33415
0,11250,25.31721
0,11265,25.30028
0,11280,25.28336
0,11295,25.26645
0,11310,25.24955
0,11325,25.23267
0,11340,25.21579
0,11355,25.19893
0,11370,25.18208
0,11385,25.16524
0,11400,25.14841
0,11415,25.13159
0,11430,25.11478
0,11445,25.09799
0,11460,25.08121
0,11475,25.06443
0,11490,25.04767
0,11505,25.03092
0,11520,25.01418
0,11535,24.99745
0,11550,24.98074
0,11565,24.96403
0,11580,24.94734
0,11595,24.93066
0,11610,24.91398
0,11625,24.89732
0,11640,24.88067
0,11655,24.86404
0,11670,24.84741
0,11685,24.8308
0,11700,24.81419
0,11715,24.7976
0,11730,24.78101
0,11745,24.76444
0,11760,24.74788
0,11775,24.73133
0,11790,24.7148
0,11805,24.69827
0,11820,24.68175
0,11835,24.66525
0,11850,24.64876
0,11865,24.63227
0,11880,24.6158
0,11895,24.59934
0,11910,24.58289
0,11925,24.56645
0,11940,24.55003
0,11955,24.53361
0,11970,24.5172
0,11985,24.50081
0,12000,24.48443
0,12015,24.46805
0,12030,24.45169
0,12045,24.43534
0,12060,24.419
0,12075,24.40267
0,12090,24.38636
0,12105,24.37005
0,12120,24.35375
0,12135,24.33747
0,12150,24.3212
0,12165,24.30493
0,12180,24.28868
0,12195,24.27244
0,12210,24.25621
0,12225,24.23999
0,12240,24.22378
0,12255,24.20758
0,12270,24.1914
0,12285,24.17522
0,12300,24.15905
0,12315,24.1429
0,12330,24.12676
0,12345,24.11062
0,12360,24.0945
0,12375,24.07839
0,12390,24.06229
0,12405,24.0462
0,12420,24.03012
0,12435,24.01406
0,12450,23.998
0,12465,23.98195
0,12480,23.96592
0,12495,23.94989
0,12510,23.93388
0,12525,23.91787
0,12540,23.90188
0,12555,23.8859
0,12570,23.86993
0,12585,23.85397
0,12600,23.83801
0,12615,23.82208
0,12630,23.80615
0,12645,23.79023
0,12660,23.77432
0,12675,23.75842
0,12690,23.74254
0,12705,23.72666
0,12720,23.7108
0,12735,23.69494
0,12750,23.6791
0,12765,23.66327
0,12780,23.64745
0,12795,23.63164
0,12810,23.61583
0,12825,23.60004
