"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Plasma (Peripheral Venous Blood) [µmol/l]"
2,54,0.2420303
2,57,0.2839646
2,60,0.3278216
2,63,0.3730584
2,66,0.4191372
2,69,0.4655393
2,72,0.5117769
2,75,0.5574008
2,78,0.6020054
2,81,0.6452322
2,84,0.6867704
2,87,0.7263566
2,90,0.7637734
2,93,0.7988471
2,96,0.8314451
2,99,0.8614725
2,102,0.8888692
2,105,0.9136068
2,108,0.935685
2,111,0.9551289
2,114,0.9719858
2,117,0.9863226
2,120,0.9982229
2,135,1.024973
2,150,1.008962
2,165,0.9668089
2,180,0.9126039
2,195,0.8561302
2,210,0.8029325
2,225,0.7553787
2,240,0.7138876
2,255,0.6779119
2,270,0.6465614
2,285,0.6189304
2,300,0.5942364
2,315,0.571856
2,330,0.5513139
2,345,0.5322559
2,360,0.5144206
2,375,0.4976147
2,390,0.4816937
2,405,0.4665481
2,420,0.4520937
2,435,0.4382637
2,450,0.4250045
2,465,0.412272
2,480,0.4000292
2,495,0.3882448
2,510,0.3768913
2,525,0.3659451
2,540,0.3553847
2,555,0.3451913
2,570,0.3353476
2,585,0.3258381
2,600,0.3166482
2,615,0.3077649
2,630,0.2991757
2,645,0.2908691
2,660,0.2828343
2,675,0.2750612
2,690,0.2675401
2,705,0.2602619
2,720,0.2532181
2,735,0.2464002
2,750,0.2398005
2,765,0.2334115
2,780,0.2272258
2,795,0.2212366
2,810,0.2154372
2,825,0.2098213
2,840,0.2043825
2,855,0.1991151
2,870,0.1940132
2,885,0.1890714
2,900,0.1842844
2,915,0.1796469
2,930,0.175154
2,945,0.1708009
2,960,0.1665831
2,975,0.1624959
2,990,0.1585351
2,1005,0.1546964
2,1020,0.1509759
2,1035,0.1473695
2,1050,0.1438736
2,1065,0.1404845
2,1080,0.1371985
2,1095,0.1340124
2,1110,0.1309227
2,1125,0.1279263
2,1140,0.12502
2,1155,0.1222009
2,1170,0.1194661
2,1185,0.1168128
2,1200,0.1142382
2,1215,0.1117397
2,1230,0.1093149
2,1245,0.1069612
2,1260,0.1046763
2,1275,0.1024578
2,1290,0.1003036
2,1305,0.09821162
2,1320,0.09617965
2,1335,0.09420573
2,1350,0.09228794
2,1365,0.0904244
2,1380,0.08861331
2,1395,0.08685291
2,1410,0.08514153
2,1425,0.08347753
2,1440,0.08185933
3,0,0
3,3,3.53986E-07
3,6,1.730974E-05
3,9,0.0001361296
3,12,0.0005600212
3,15,0.001652557
3,18,0.003957499
3,21,0.008178206
3,24,0.01512078
3,27,0.02561725
3,30,0.04044571
3,33,0.06026087
3,36,0.08554346
3,39,0.1165706
3,42,0.1534067
3,45,0.195911
3,48,0.2437588
3,51,0.2964706
3,54,0.3534459
3,57,0.4139985
3,60,0.47739
3,63,0.5428602
3,66,0.6096532
3,69,0.677039
3,72,0.7443292
3,75,0.8108894
3,78,0.8761463
3,81,0.9395925
3,84,1.000788
3,87,1.059357
3,90,1.114992
3,93,1.167441
3,96,1.21651
3,99,1.262058
3,102,1.303988
3,105,1.342245
3,108,1.376813
3,111,1.407709
3,114,1.434975
3,117,1.458683
3,120,1.478925
3,135,1.532497
3,150,1.52093
3,165,1.465497
3,180,1.385931
3,195,1.297546
3,210,1.210331
3,225,1.1296
3,240,1.057347
3,255,0.9936176
3,270,0.9375266
3,285,0.8878912
3,300,0.8435546
3,315,0.8035206
3,330,0.7669858
3,345,0.7333252
3,360,0.7020612
3,375,0.6728309
3,390,0.6453574
3,405,0.6194279
3,420,0.5948755
3,435,0.571568
3,450,0.5493977
3,465,0.5282756
3,480,0.5081264
3,495,0.4888856
3,510,0.4704967
3,525,0.4529097
3,540,0.43608
3,555,0.4199671
3,570,0.4045342
3,585,0.3897473
3,600,0.3755751
3,615,0.3619886
3,630,0.3489607
3,645,0.336466
3,660,0.3244805
3,675,0.3129818
3,690,0.3019487
3,705,0.291361
3,720,0.2811998
3,735,0.2714467
3,750,0.2620847
3,765,0.2530973
3,780,0.2444689
3,795,0.2361845
3,810,0.2282298
3,825,0.2205913
3,840,0.2132558
3,855,0.2062109
3,870,0.1994446
3,885,0.1929456
3,900,0.1867027
3,915,0.1807056
3,930,0.1749442
3,945,0.1694087
3,960,0.16409
